"scientific_name","nombre_comun_es","number_of_trees"
"Morus alba","Morera","18"
"Bombacopsis quinata","Ceiba tolua","17"
"Jatropha multifida","Cabalongo","17"
"Acalypha wilkesiana","Bronce","16"
"Gossypium barbadense","Algodon","16"
"Calliandra purdiei","Carbonero purdiei","16"
"Rhapis excelsa","Palma Rafis","15"
"Cespedesia spathulata","Paco","15"
"Laetia acuminata","Manteco","15"
"Cordia lutea","Biyuyo, Gomo","14"
"Huertea granadina","Cedrillo","14"
"Manilkara zapota","Zapote costeno","14"
"Delonix regia","Acacia roja","14"
"Dracaena surculosa","Dracaena surculosa","13"
"Didymopanax morototoni","Mano de oso","13"
"Dracaena marginata","Palma Tricolor","13"
"Hibiscus elatus","Majagua","13"
"Jacaranda obtusifolia","Jacaranda, Palisandro, Gualanday caliente","13"
"Tectona grandis","Teca","13"
"Eugenia uniflora","Maria Eungenia","12"
"Cecropia obtusifolia","Yarumo obtusifolia","12"
"Pinus radiata","Pino candelabro, Pino de monterrey, Pino de california","12"
"Cryosophila kalbreyeri","Palma escoba, Barbasco","12"
"Fraxinus americana","Fresno blanco, Fresno americano","12"
"Licuala grandis","Palma licuala","12"
"Triplaris weigeltiana","Guacamayo, Vara Santa","11"
"Chloroleucon mangense","Angarillo","11"
"Trichilia goudotiana","Naranjuelo goudotiana","11"
"Oenocarpus bataua","Palma mil pesos","10"
"Quadrella odoratissima","Caparis, Naranjuelo","10"
"Senecio formosus","Arnica","9"
"Veitchia montgomeriana","Palma Montgomery","9"
"Mimosa pigra","Dormidera","9"
"Kigelia africana","Africano, Arbol salchicha","9"
"Crateva tapia","Manzana de playa","9"
"Ficus benghalensis","Ficus benghalensis","9"
"Galphimia gracilis","Floramarillo, Lluvia de oro","9"
"Parkinsonia aculeata","Sauce guajiro, Retamo espinoso","9"
"Lafoensia acuminata","Guayacan, Guayacan Piedro, Guayacan de Manizales","8"
"Chamaedorea tepejilote","Palma Tepejilote","8"
